timestamp,pose_x,pose_y,pose_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1739774116203367028,29.7280724784979,-27.935344435315116,0.0,-1.1338879721253596e-10,-3.3481842400816014e-10,-0.3207628969705463,0.947159524012224,0.4999999949527466,-5.4425361732581695e-09,0.0,0.0,0.0,1.1102230246251565e-14
1739774116236458748,29.73601470149209,-27.94142070775385,0.0,-1.1338879667209602e-10,-3.348181898335476e-10,-0.32076289697054666,0.9471595240122238,0.4999999949527466,-5.4425361732581695e-09,0.0,0.0,0.0,-6.661338147750939e-14
1739774116291326783,29.743956924486277,-27.947496980192582,0.0,-1.1338902880550178e-10,-3.348186591597344e-10,-0.3207628969705468,0.9471595240122238,0.49999999495296243,-5.442818339584064e-09,0.0,0.0,0.0,-1.3322676295501878e-13
1739774116349354294,29.751899147480465,-27.953573252631315,0.0,-1.1338877595212116e-10,-3.3481770989678737e-10,-0.32076289697054655,0.9471595240122239,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,1.2212453270876722e-13
1739774116371896383,29.759841370474653,-27.95964952507005,0.0,-1.133890210973417e-10,-3.348181843102488e-10,-0.3207628969705469,0.9471595240122238,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,3.3306690738754696e-14
1739774116395131823,29.76778359346884,-27.96572579750878,0.0,-1.1338900938114608e-10,-3.348179466658245e-10,-0.3207628969705474,0.9471595240122236,0.4999999949527466,-5.442536175968675e-09,0.0,0.0,0.0,3.3306690738754696e-14
1739774116419975653,29.77572581646303,-27.971802069947515,0.0,-1.133892419123515e-10,-3.3481841593580593e-10,-0.32076289697054755,0.9471595240122236,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,-2.3314683517128287e-13
1739774116467607100,29.78366803945722,-27.977878342386248,0.0,-1.1338923279918544e-10,-3.348181729830931e-10,-0.32076289697054783,0.9471595240122235,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,0.0
1739774116500115740,29.791610262451407,-27.98395461482498,0.0,-1.1338922849908087e-10,-3.3481794110506683e-10,-0.3207628969705474,0.9471595240122236,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,2.220446049250313e-14
1739774116530940598,29.799552485445595,-27.990030887263714,0.0,-1.1338848118573244e-10,-3.3481834273903586e-10,-0.3207628969705473,0.9471595240122237,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,1.1102230246251565e-13
1739774116557257883,29.807494708439783,-27.996107159702447,0.0,-1.1338945743537713e-10,-3.3481816112659266e-10,-0.3207628969705475,0.9471595240122236,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,-7.771561172376096e-14
1739774116588993688,29.815436931433972,-28.00218343214118,0.0,-1.1338871706063373e-10,-3.348185684228407e-10,-0.3207628969705474,0.9471595240122236,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,1.1102230246251565e-14
1739774116619766428,29.82337915442816,-28.008259704579913,0.0,-1.1338969236073624e-10,-3.348183845507533e-10,-0.3207628969705474,0.9471595240122236,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,-6.661338147750939e-14
1739774116653507138,29.83132137742235,-28.014335977018646,0.0,-1.133886997851246e-10,-3.3481807837526034e-10,-0.3207628969705471,0.9471595240122237,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,0.0
1739774116700428607,29.839263600416537,-28.02041224945738,0.0,-1.1338968104698215e-10,-3.348179006593603e-10,-0.3207628969705471,0.9471595240122237,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,6.661338147750939e-14
1739774116744987014,29.847205823410725,-28.026488521896113,0.0,-1.1338894916285209e-10,-3.348183002617441e-10,-0.32076289697054716,0.9471595240122237,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,-1.1102230246251565e-14
1739774116760543603,29.855148046404913,-28.032564794334846,0.0,-1.1338893999748558e-10,-3.348180609002829e-10,-0.3207628969705474,0.9471595240122236,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,0.0
1739774116797829128,29.863090269399102,-28.03864106677358,0.0,-1.1338917615058562e-10,-3.348185291331911e-10,-0.32076289697054644,0.9471595240122239,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,1.1102230246251565e-14
1739774116838527470,29.87103249239329,-28.04471733921231,0.0,-1.1338819158856027e-10,-3.34818208329893e-10,-0.3207628969705468,0.9471595240122238,0.4999999949525307,-5.442254012353286e-09,0.0,0.0,0.0,6.661338147750939e-14
1739774116889338835,29.87897471538748,-28.050793611651045,0.0,-1.133891688725023e-10,-3.3481802816154254e-10,-0.32076289697054644,0.9471595240122239,0.4999999949527466,-5.44253617867918e-09,0.0,0.0,0.0,2.220446049250313e-14
